ID,Event,Country,Latitude,Longitude,USGS Event ID,Year,Month,Day,Time of Day (Universal Time Code),Mw,Earthquake Information Source,Fault Type,Depth (km),Ms,Ms Source,Other Magnitude,Other Magnitude Type,Other Magnitude Source,USGS ShakeMap Availability,Inventory,Inventory Source,Total Fatalities,Total Fatalities Source,Total Injuries,Total Injuries Source,Landslide Fatalities,Landslide Fatalities Source,Missing People (Landslide),Missing People Source,Area Affected (km^2),Area Affected Source,Number of Landslides (Primary),Number of Landslides (Primary) Source,Number of Landslides (Secondary),Number of Landslides (Secondary) Source,Number of Landslides (Additional Values and Sources),mLS (Primary),Rodriguez #LS,Keefer # LS,Area of Landslides (km^2),Area of Landslides Source,Volume of Landslides (km^3),Volume of Landslides Source,Max Epicentral Distance (km),Max Distance from Fault-Rupture Zone to Landslides (km),Max Epicentral Distance and Distance from Fault-Rupture Zone Source,Notes
,Nisqually Quake - Borah peak 1983 ls deaths - https://nisquallyquake.wordpress.com/2010/01/21/the-borah-peak-earthquake-on-october-28-1983/\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOAA: NCEI - Veracruz Mexico 1920 earthuake info: https://www.ngdc.noaa.gov/nndc/struts/results?eq_0=3148&t=101650&s=13&d=22,26,13,12&nd=display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paras Carayannis - 1975 LS deaths http://www.drgeorgepc.com/Tsunami1975.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peru Earthquake Archive: http://ds.iris.edu/seismo-archives/quakes/1970peru/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippine Earthquake October 16 2019 https://news.yahoo.com/landslide-building-damage-philippine-quake-024629537.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q News Costa Rica 2017 Earthquake https://qcostarica.com/three-dead-from-sunday-nights-earthquake/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Reuters Quake in China's Yunnan Province Kills Three, Injures 28 2021 https://www.reuters.com/world/china/quake-yunnan-china-kills-two-cgtn-tv-2021-05-21/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scientific American Peru Earthquake 2019 - https://blogs.scientificamerican.com/rosetta-stones/why-perus-m8-earthquake-was-damaging-but-not-catastrophic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,smithsonianmag (19230901025835) - http://www.smithsonianmag.com/history/the-great-japan-earthquake-of-1923-1764539/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stover and Coffman- 1886 Charlestown fatalities - https://books.google.com/books?id=bY0KAQAAIAAJ&printsec=frontcover&dq=seismicity+of+the+united+states&hl=en&sa=X&ei=wOqeUIjiI4XBiwKVvIHYDg&ved=0CDcQ6AEwAQ#v=onepage&q&f=false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teara- Arthurs Pass NZ 1929 https://teara.govt.nz/en/historic-earthquakes/page-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Grizzly Big Bear Earthquake 1992 http://www.bigbeargrizzly.net/news/shake-rattle-and-roll-years-later/article_e7faf598-bff0-11e1-8058-0019bb2963f4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Guardian 2012 Myanmar no LS deaths - https://www.theguardian.com/world/2012/nov/11/burma-earthquake-feared-dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Telegraph - 2013 Indoenesia landslide deaths http://www.telegraph.co.uk/news/worldnews/asia/indonesia/10156467/Indonesia-earthquake-kills-22-in-Aceh.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Telegraph - 2015 Greece Earthquake injuries https://www.telegraph.co.uk/travel/destinations/europe/greece/articles/Earthquake-kills-two-on-the-Greek-island-of-Lefkada/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Washington Post Idaho Earthquake 2020 https://www.washingtonpost.com/weather/2020/04/01/idaho-earthquake/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waterloo - Seguany Canada 1989 https://uwaterloo.ca/wat-on-earth/news/saguenay-earthquake-23-november-1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wikipedia Indonesia Earthquake 2019 https://en.wikipedia.org/wiki/2019_Ambon_earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wikipedia 2021 Fukushima Earthquake https://en.wikipedia.org/wiki/2021_Fukushima_earthquake#Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wikipedia 2021 Haiti earthquake https://en.wikipedia.org/wiki/2021_Haiti_earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whittier Daily  News 1987 ls deaths http://www.whittierdailynews.com/20070928/whittiers-big-one-2-decades-later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xinhua News Agency - 2010 China Fatalities http://news.xinhuanet.com/english2010/china/2010-04/20/c_13260153.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yusoff et al, 2015 http://iopscience.iop.org/article/10.1088/1755-1315/37/1/012068/pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
